"Gene"	"X3UTR"	"X5UTR"	"CDS"	"promCore"
"ARSA"	NA	0.443393940347261	0.848857597818942	0.933657490137305
"ARSE"	NA	0.483676372170118	0.946801990477452	0.870165432208991
"ARSH"	NA	NA	0.823125518305632	0.723252599238457
"ARTN"	NA	0.220060677178189	0.332511890066701	0.33770675499954
"ASAH2"	0.708059528009908	NA	0.658461737611605	0.783901227588643
"ASB12"	0.845963839834882	0.437146508615537	0.779580339019761	0.80372618174141
"ASCC3"	0.933240189049345	0.345991223609035	0.289460747978534	0.552020652397358
"ASCL1"	0.0339164001064393	0.341420528024907	0.882115050149105	0.301292076235068
"ASF1A"	0.0311560348534109	0.47795428835952	0.632403598967548	1
"ASZ1"	0.432516312839009	0.0089031086671465	0.982238700223201	0.190419629524912
"ATF3"	0.626249305891429	0.0220962918745559	0.72009009376172	0.112674807634774
"ATG4A"	0.875582561709512	0.280605628707853	0.877947528297105	0.510606754967862
"ATG4C"	0.857275526053114	0.431256999011216	0.814296380265481	0.368873875698877
"ATG5"	0.60197064879893	0.412680021580073	0.666328307262282	0.358233879700419
"ATG7"	0.35352153720632	0.087566574564943	0.837757984174802	0.396582411821682
"ATG9B"	0.646667331618298	0.397118061651672	0.0677748570814891	0.659412867270219
"ATM"	0.978468517593605	0.199979411949405	7.19394392041867e-09	0.138609312294502
"ATOX1"	0.934601405804726	0.461726799892609	0.610629353988257	0.981926340641968
"ATP11B"	0.813100819606635	0.443273065864082	0.0234692292647023	0.89711187083483
"ATP1A1"	0.802476840218872	0.329855630782308	0.0312253615153485	0.750609033431202
"ATP1A2"	0.76353596594966	0.0677140601215175	0.00443766169096074	0.407720011868351
"ATP1B3"	0.348681736440515	0.259460509436473	0.941326232656913	0.490562867386744
"ATP2B1"	0.0753200080515335	0.243630491877886	0.586913499277745	0.261165608554666
"ATP6V0D2"	0.964910974874238	0.435243276051691	0.364310571123389	0.675465722551178
"ATP6V1A"	0.806709214384775	0.242017749017121	0.330582775694988	0.4186820307139
"ATP6V1E1"	0.381940284889781	0.463770416332724	0.850558421017935	0.898647908818189
"ATP6V1G2"	0.260222930702877	0.00052032684450576	0.189026582825523	0.0285537787861889
"ATP6V1G3"	0.904596220293967	0.467279798463295	0.544260895008636	0.792310622401367
"ATP7A"	0.745038144348382	0.122165689189383	0.801650283972764	0.0925065371323378
"AURKA"	0.64017816171529	0.406764139655509	0.963321589643558	0.380436628159135
"AURKAIP1"	NA	0.319879810670269	0.525285049929813	0.327194305555312
"AURKB"	NA	0.171153972372861	0.887722741811231	0.575823200834706
"AVP"	NA	0.430042530750294	0.534351152214553	0.705771535768796
"AVPR2"	NA	0.414790092040481	0.686243442962595	0.283469142014832
"AWAT1"	0.475391882411885	0.481572432417723	0.903228654926507	NA
"AXL"	0.294914376094766	0.389444971467691	0.272188447489315	0.695847809499271
"AZU1"	NA	0.373048986917312	0.648732901253365	1
"B2M"	0.853875296617359	8.6162190674658e-05	3.70189685788846e-06	0.0049574391339203
"B3GAT1"	0.525464369402974	0.177187125926329	0.689731376965235	0.776204560493451
"B3GNT2"	0.848275446068121	0.0457188513229334	0.972772386803719	0.186442952784734
"B4GALT1"	0.912601599462536	0.0115721609414795	0.785721604435864	0.0688805996834114
"BAD"	NA	0.153773921667693	0.73729025548385	0.130381932906484
"BAIAP2"	0.473789402800415	0.458146789098922	0.83585300679029	0.350241808594799
"BANP"	0.45471481549053	0.463732574105608	0.849974537205074	0.955608347432079
"BARD1"	0.830768507641263	0.144135427266327	0.945186262533157	0.500686352904922
"BAX"	0.842098895020788	0.11348878539917	0.000142773633184253	0.107399001479471
"BBOX1"	0.651039321427416	0.410862646500088	0.688788012992071	0.825321211029731
"BCKDHA"	0.0698067352386568	0.338818714080195	0.982192124289704	0.552333518402957
"BCL11A"	0.287777130604299	0.0069968132751362	0.26404439637574	0.000825879966131564
"BCL2"	0.855725585066246	0.0289813542197459	0.935879901787205	0.0206661605247481
"BCL2L1"	0.480711926154258	0.053953356860817	0.913937997137717	0.0786184556035477
"BCL2L11"	0.967872304146937	0.218543299504666	0.0117261781938389	0.26421826256062
"BCL2L14"	0.771064619442284	0.382211251198644	0.676131733993231	0.326837892899328
"BCR"	0.480634519490702	0.261774523897203	0.965566154231123	0.414881509068384
"BDH2"	0.365348348551687	0.161111851633006	0.961761834358152	0.103535125020484
"BGN"	0.741899142964745	0.155765102064842	0.703470490870572	0.248897694405993
"BHLHE40"	0.0532145168225579	0.444458965278404	0.323457347698262	1
"BHMT"	0.276733914978951	0.38713478201296	0.468431817672212	0.133989895325881
"BID"	0.877313522498365	0.101209528911475	0.649906135078599	0.842065663791123
"BLM"	0.1364303807112	0.476022718238769	0.844695851444696	0.777878376305282
"BLMH"	0.30144233884819	0.472597750653806	0.115837578451783	0.853432565598543
"BLNK"	0.766818327963121	0.49123031204044	0.938839275009223	0.248013246881527
"BLVRB"	NA	0.409278479351805	0.937720418857481	0.098347551486666
"BLZF1"	0.418397654850805	0.182583566889221	0.223062795091081	0.320101155216172
"BMP1"	0.418940668880157	0.488589433941499	0.360667012197637	1
"BOC"	0.922430690413464	0.446514737880554	0.411104445209751	0.671721100694281
